english,khasi
Where would you like to go?,Shaei me kwah ban leit?
He came.,U lah wan.
That's impossible for me.,Ka long ka bymlahlong ianga.
When is school over?,Lano kut skul?
He is tall and strong.,U jrong bad khlaiñ.
We're still open.,Ngi dang plie.
You can go if you want to.,Pha lah ban leit lada pha kwah.
What Tom told us about how the accident happened wasn't true.,Kaei kaba u Tom u iathuh iangi shaphang kumno ba ka jingjia ka la jia kam dei kaba shisha.
Tom doesn't like to play poker.,U Tom um sngewtynnad ban lehkai Poker.
Where did you see that?,Naei phi iohi ia kata?
Stuff happens.,Shait long kumto.
The heavy door swung open.,Ka jingkhang kaba khia ka la plie kdar.
I am asking questions to my father.,Nga dang kylli jingkylli ia i pa.
I told my parents everything.,Nga la iathuh lut ia i mei i pa.
Goodnight.,Thiah suk.
I need you.,Nga donkam iaphi.
Look there.,Peit shato.
Lie still.,Thiah beit.
Is the tap water here drinkable?,Long ban dih kato ka um kor?
Nobody came.,Ym don ba wan.
What is your name?,Kyrteng aiu maphi?
I'm not eating this fish.,Ngam bam re kane ka dohkha.
I told my parents everything.,Nga iathuh lut ia i mei i pa.
"You don't like it when I do that, do you?",Phim sngewtynnad re ba nga leh kumto dei?
I've got beer.,Nga ioh beer.
Tom was surprised how well Mary could swim.,U Tom u la lyngngoh kumno ka Mary ka nang bha ban jngi.
It didn't go well.,Ka khlem long bha.
Suit yourself.,Katba phi mon.
It impresses me that you know how to do that.,Ka pynsngewtynnad ianga ba pha nang kumno ban leh ia kato.
Stop filming.,Nai ring.
Which is the newest one?,Ino iba thymmai tam?
Are you sure that it's OK to drink this water?,Pha thikna ka biang ban dih ia kane ka um?
He spoke to me when he saw me.,U kren ianga por ba u ïohi ianga.
I'm going to Australia the month after next.,Ngan leit sha Australia lashembnai.
"She's attractive, but she talks too much.","Ka bhabriew, tangba ka heh tang ka kren."
Come here.,Wan hangne.
We thought you might want to come with us.,Ngi tip ba phan sa kwah ban wan bad ngi.
You decide.,Ong maphi.
You have no idea what you're talking about.,Mem tip ia kaei kaba me kren.
Stop grumbling.,Nai thnum.
Do you remember where Tom left his umbrella?,Me kynmaw hangno u Tom u buh ka shatri?
What is your name?,Phi kyrteng kumno?
I won't wash your car.,Ngam sait ia ka kali jong phi.
He gave the same answer as before.,U ai kajuh ka jubab kum kaba hashuwa.
I saw Tom give a flower Mary.,Nga i i'u Tom ba ai syntiew iaka Mary.
What are those?,Kito kidei kiei?
Stay down!,Nguh!
We could say that both of those balls are the same weight.,Ngi lah ban ong ba kito ki ball ki don katjuh ka jingkhia.
We must work as long as we live.,Ngi dei ban trei katba ngi dang im.
I didn't know why.,Nga khlem tip balei.
"When I woke up, I was in the car.","Ynda nga lah kyndit, nga lah don ha kali."
How do people like you get to be people like you?,Kumno sa don ki jaid briew kum mame?
Step into the light.,�eng haba shai.
What did you get exactly?,Shisha phi ïoh aiu?
He has ten cows.,U don shiphew tylli ki masi.
What were you doing at that time?,Pha leh aiu ha kato ka por?
Take it.,Shim.
They won't permit you to do that here.,Kim shah iaphi ba phin leh kumto hangne.
He leaves at eight.,U mih phra baje.
Please write that down for me.,Thoh seh.
What do you do for the team?,Phi leh aiu na ka bynta ka team?
Everybody's got something to hide.,Baroh ki don eiei ban buhrieh.
Is it rude to ask a woman how old she is?,Ka long khlemakor ban kyllia ia ka kynthei katno snem ka don?
Help yourself.,Ia bam.
Tom said you have to be more careful.,U Tom u ong ba phi hap ban long kham phikir.
We must work as long as we live.,Katba ngi dang im ngi dei ban trei.
I love you.,Nga ieid iame.
Where can I get some ice for my knee?,Naei ngan ioh thah na ka bynta ka khohsiew jong nga?
That news got around.,Kato ka khubor ka lah saphriang lut.
This is very good.,Ka best bha kane.
What is the name of this river?,Kane ka wah ka kyrteng aiu?
I wonder what Tom wants.,U Tom u kwah aiu tip.
I'm a student here.,Nga dei khynnah pule hangne.
Look there.,Peit shatai.
The hospital where Tom was born is in Australia.,Ka hospital ha kaba la kha ia u Tom ka don ha Australia.
You shouldn't believe everything Tom says.,Pham dei ban ngeit lut kat kaba u Tom u ong.
"I want you, Tom.","Nga kwah iaphi, Tom."
Speak softly.,Kren suki.
You can't afford this.,Phim lah ban thied iakane.
Tom is going to hurt you.,U Tom un pynmynsaw ia me.
You can't escape from me.,Men ym lah ban lait nanga.
We don't need to waste money on things we don't need.,Ngim donkam ban pynlehnohei pisa ha ki tiar kiba ngim donkam.
They're always there.,Ki ïa don beit shatei.
"Fish, please.",Ai dohkha.
Smile.,Rkhie.
Stop!,Sangeh!
I'm pretty sure Tom can do it.,Nga thikna ba u Tom u lah ban leh.
Do you really want Tom to die?,Phi kwah shisha ia u Tom ba un ïap?
I was so cold.,Ka khriat bha.
Tom lives in his own world.,U Tom u don ha la ka jong ka pyrthei.
I'll take my dog out for a walk.,Ngan ïalam kai ïa ka ksew.
Tom gave his seat to an elderly lady.,U Tom u ai ia ka jakashong jong u ha I tymmen kynthei.
We eat together every evening.,Ngi bam lang man ka janmiet.
You're dishonest.,Phi sla.
Unbelievable!,Bymlah ngeit.
The toilet is upstairs.,Ka painkhana ka don halor.
Who else do you miss?,Iano de phi kynjah?
What do you go by?,Khot kumno iaphi?
The moon is shining.,U bnai u phyrnai.
Tom didn't provide an answer.,U Tom u khlem ai jubab.
I don't go anywhere without my camera.,Ngam ju leit shaei shaei khlem ka kamera jong nga.
I'll figure out a way to fix this. Don't worry.,Ngan sa wad hi ka lad ban pynbeit iakane. Wat khuslai.
Eat slowly.,Bam suki.
Wood burns.,Ka dieng ka ing.
I'm sorry.,Map ianga.
It's too late to try that.,Ka lah slem ban leh iakata.
Don't you want to know?,Phim kwah ban tip?
How did you know what Tom needed to do?,Kumno phi tip u Tom u donkam ban leh aiu?
Where are you now?,Haei phi don mynta?
Stop meddling.,Wat pynthut.
Why did you try to run away?,Balei me pyrshang ban phet?
You're just not the person I thought you were.,Phim dei u briew uba nga mut ba phi dei.
Are you going to shoot me?,Phin siat ïanga?
